PM2.5,NO2,Temperatura,Umidità,IndiceQualità
56,69,20,52,Cattivo
97,50,33,67,Cattivo
19,38,26,78,Buono
76,24,15,41,Cattivo
65,54,33,49,Cattivo
25,74,14,57,Cattivo
87,18,29,70,Cattivo
91,10,11,73,Buono
79,17,15,27,Buono
79,72,31,46,Cattivo
92,20,20,46,Buono
28,17,25,40,Buono
7,44,25,49,Cattivo
26,44,10,47,Cattivo
57,42,18,83,Buono
6,14,15,88,Cattivo
92,50,25,80,Buono
34,37,12,67,Cattivo
42,16,29,38,Buono
6,21,13,23,Cattivo
68,43,28,54,Buono
64,42,12,83,Buono
25,57,28,68,Buono
37,32,29,36,Cattivo
80,71,16,63,Buono
62,46,29,49,Buono
26,53,18,65,Cattivo
93,44,10,25,Cattivo
53,74,17,56,Buono
95,56,16,43,Buono
63,12,27,65,Cattivo
46,10,17,72,Cattivo
96,14,10,79,Cattivo
64,23,20,82,Cattivo
84,36,34,51,Cattivo
19,18,34,52,Buono
66,24,27,86,Cattivo
66,51,32,37,Buono
51,60,19,44,Buono
66,72,12,73,Buono
55,61,16,77,Cattivo
59,13,25,86,Buono
68,32,25,65,Buono
7,24,34,43,Cattivo
55,52,29,51,Buono
11,38,26,66,Buono
25,45,11,42,Cattivo
77,22,10,85,Buono
43,41,25,46,Buono
22,68,21,21,Buono
8,37,14,36,Cattivo
93,75,14,52,Cattivo
64,51,32,28,Cattivo
18,54,18,62,Buono
13,71,18,67,Buono
94,66,12,58,Cattivo
57,15,28,61,Buono
6,37,25,45,Buono
88,37,25,69,Cattivo
96,53,12,44,Cattivo
64,39,29,43,Buono
75,71,33,32,Buono
48,71,31,79,Buono
12,10,33,26,Cattivo
51,36,10,76,Cattivo
39,71,33,55,Cattivo
82,12,29,64,Cattivo
85,79,20,39,Buono
40,36,26,84,Cattivo
54,18,17,27,Cattivo
8,71,13,35,Cattivo
6,46,15,33,Cattivo
10,60,17,34,Cattivo
58,53,29,85,Buono
8,33,12,51,Buono
58,68,25,82,Cattivo
97,41,34,70,Buono
67,61,12,44,Cattivo
22,71,34,77,Cattivo
94,67,27,82,Buono
48,61,23,81,Buono
38,21,27,41,Cattivo
78,48,11,77,Cattivo
66,11,31,77,Cattivo
18,12,12,68,Buono
99,65,25,71,Cattivo
52,68,18,61,Cattivo
19,11,13,89,Cattivo
76,11,10,34,Buono
82,63,13,73,Cattivo
91,10,10,79,Cattivo
66,28,23,27,Buono
44,11,30,72,Cattivo
89,62,25,79,Cattivo
84,53,29,24,Buono
86,41,33,87,Cattivo
57,79,17,25,Buono
28,41,16,66,Buono
30,77,12,74,Cattivo
93,64,26,59,Cattivo
